epoch,loss,val_loss
0,0.2677355706691742,0.215676948428154
1,0.15794511139392853,0.10840664058923721
2,0.07780732959508896,0.05736209824681282
3,0.048922084271907806,0.04364345222711563
4,0.04109903797507286,0.03895862400531769
5,0.037338871508836746,0.035695821046829224
6,0.03421327471733093,0.03270634263753891
7,0.031380075961351395,0.030047046020627022
8,0.028841109946370125,0.027662836015224457
9,0.026595590636134148,0.025531506165862083
10,0.024509510025382042,0.02349935844540596
11,0.02252303995192051,0.02152770198881626
12,0.020613839849829674,0.019710581749677658
13,0.018817530944943428,0.017940238118171692
14,0.017109015956521034,0.016273783519864082
15,0.015435008332133293,0.014636704698204994
16,0.01387874037027359,0.013199904002249241
17,0.012461666017770767,0.011828658170998096
18,0.011172354221343994,0.010613000020384789
19,0.010028140619397163,0.00955311581492424
20,0.009012972004711628,0.008610389195382595
21,0.008102228865027428,0.007741909008473158
22,0.007275470066815615,0.006973124574869871
23,0.006526373326778412,0.006293443497270346
24,0.00583988893777132,0.005619217175990343
25,0.005236255470663309,0.005064815748482943
26,0.00469444552436471,0.004537023138254881
27,0.0042044008150696754,0.004069662187248468
28,0.0037638996727764606,0.0036669529508799314
29,0.00336830853484571,0.0032890690490603447
30,0.003009734209626913,0.002951086964458227
31,0.002689334563910961,0.0026430669240653515
32,0.0023993344511836767,0.0023804265074431896
33,0.0021370286121964455,0.002128619933500886
34,0.0019091743743047118,0.0018948023207485676
35,0.0017007054993882775,0.00170312135014683
36,0.001514898263849318,0.0015183574287220836
37,0.0013505493989214301,0.0013689849292859435
38,0.0012021355796605349,0.0012163305655121803
39,0.0010700097773224115,0.0010896100429818034
40,0.0009511876851320267,0.0009673727909103036
41,0.0008441461832262576,0.00087102031102404
42,0.0007480327039957047,0.0007703029550611973
43,0.0006628073169849813,0.0006787785678170621
44,0.0005855888593941927,0.0006050756201148033
45,0.0005177794955670834,0.0005323120858520269
46,0.00045665979268960655,0.00047434415319003165
47,0.0004021126660518348,0.00041977601358667016
48,0.00035460208891890943,0.00036452902713790536
49,0.0003108645905740559,0.0003199846833012998
50,0.0002725430822465569,0.0002855407365132123
51,0.0002390441222814843,0.000244847615249455
52,0.00020878243958577514,0.00021861743880435824
53,0.00018374407954979688,0.00018548899970483035
54,0.00016064016381278634,0.0001656043459661305
55,0.0001402121124556288,0.0001413496065651998
56,0.0001223624567501247,0.00012294163752812892
57,0.00010687628673622385,0.0001127013674704358
58,9.339677490061149e-05,9.609328117221594e-05
59,8.081240230239928e-05,7.981185626704246e-05
60,7.01976750860922e-05,7.14712732587941e-05
61,6.136489537311718e-05,6.0696267610182986e-05
62,5.322018841980025e-05,5.337201218935661e-05
63,4.62807911389973e-05,4.470115163712762e-05
64,4.0130580600816756e-05,4.13331035815645e-05
65,3.497639772831462e-05,3.2951749744825065e-05
66,3.047296922886744e-05,2.9229990104795434e-05
67,2.6252395400661044e-05,2.500246228009928e-05
68,2.298530307598412e-05,2.185660196118988e-05
69,2.0006084014312364e-05,1.8852953871828504e-05
70,1.729499490465969e-05,1.5850622730795294e-05
71,1.4998679944255855e-05,1.4471204849542119e-05
72,1.3127727470418904e-05,1.1904855455213692e-05
73,1.1242355867580045e-05,1.0099831342813559e-05
74,9.88484771369258e-06,1.0208248568233103e-05
75,8.656709724164102e-06,8.242085641541053e-06
76,7.41058374842396e-06,7.117959739844082e-06
77,6.5198510128539056e-06,5.734850674343761e-06
78,5.6241219681396615e-06,5.064765446149977e-06
79,4.838471340917749e-06,4.593829089571955e-06
80,4.202763648208929e-06,3.949063739128178e-06
81,3.6575875128619373e-06,3.6297183214628603e-06
82,3.1782112728251377e-06,3.601635626182542e-06
83,2.741008984230575e-06,2.534489794925321e-06
84,2.4008336367842276e-06,2.4481637410644908e-06
85,2.1063779058749788e-06,2.0032227894262178e-06
86,1.8365852838542196e-06,1.6526878425793257e-06
87,1.606334762982442e-06,1.4817129567745724e-06
88,1.4088220723351697e-06,1.3315993783180602e-06
89,1.2355704939182033e-06,1.2207399322505808e-06
90,1.1015154086635448e-06,1.038199911818083e-06
91,9.59491330831952e-07,8.601719514444994e-07
92,8.483651185997587e-07,7.472372658412496e-07
93,7.375119821517728e-07,7.34747970909666e-07
94,6.934537282177189e-07,5.545144858842832e-07
95,5.978002945994376e-07,4.822410915039654e-07
96,5.315752673595853e-07,5.485727569976007e-07
97,4.993203788217215e-07,5.50792151443602e-07
98,4.313912143061316e-07,3.6684892279481573e-07
99,3.913390003162931e-07,3.8895876741662505e-07
100,3.645273807251215e-07,3.040177887214668e-07
101,3.203722656053287e-07,3.447550511737063e-07
102,3.022128112206701e-07,2.426644414299517e-07
103,2.668894296675717e-07,2.4273282406284125e-07
104,2.520550879125949e-07,2.147722995005097e-07
105,2.2855149950373743e-07,1.8125012957170838e-07
106,2.1341482181469473e-07,2.3245159752605105e-07
107,1.9620598834535485e-07,1.532124684899827e-07
108,1.9294139974590507e-07,2.241950198822451e-07
109,1.7265448093439772e-07,1.6874703590019635e-07
110,1.4973045381339034e-07,1.3852351798959717e-07
111,1.5319341173380963e-07,1.3910600671351858e-07
112,1.3691901301626785e-07,1.2573713092933758e-07
113,1.3122766517881246e-07,1.2376385427614878e-07
114,1.1958201184825157e-07,1.0295831742723749e-07
115,1.1889629547567893e-07,8.199783962936635e-08
116,1.0778840930925071e-07,9.927407518262044e-08
117,9.971117975737798e-08,6.71182789346858e-08
118,9.83153967126782e-08,9.960284330645663e-08
119,8.760232361737508e-08,6.61132233403805e-08
120,8.756269664900174e-08,1.0281210904850013e-07
121,7.978900384841836e-08,9.452499938333858e-08
122,8.495668168961856e-08,9.481004781264346e-08
123,7.66235714877439e-08,7.438129046022368e-08
124,7.59030740482558e-08,6.252692941188798e-08
125,6.822212839097119e-08,5.162466010233402e-08
126,6.531633545137083e-08,3.945007875927331e-08
127,6.601533186767483e-08,3.447408403189911e-08
128,6.158082044294133e-08,4.455500857147854e-08
129,6.191782375708499e-08,4.740698855698611e-08
130,6.025305765433586e-08,5.8734784147418395e-08
131,5.5682409794144405e-08,3.4322486186511014e-08
132,5.4429850848691785e-08,6.092588478168182e-08
133,5.176783801630336e-08,9.281262691729353e-08
134,5.189903973246146e-08,4.1595974664687674e-08
135,5.495037314062756e-08,3.663755165916882e-08
136,4.60984708183787e-08,3.1977098302604645e-08
137,5.039582617882843e-08,5.834081662214885e-08
138,4.8587402545763325e-08,2.502637741486069e-08
139,4.7705604799830326e-08,5.608096742548696e-08
140,4.505746886707129e-08,6.484982151278018e-08
141,4.5480852861601306e-08,3.0143255003167724e-08
142,4.165374889453233e-08,3.528577963152202e-08
143,4.448332902029506e-08,2.7123512325033516e-08
144,4.590565083617548e-08,6.30134735501997e-08
145,3.811242876849974e-08,2.7336200858485427e-08
146,4.151694099618908e-08,3.250740832072552e-08
147,3.9798823792125404e-08,2.8842004340390304e-08
148,3.919195989965374e-08,3.029250450481413e-08
149,3.809093129802932e-08,2.3385688052712794e-08
150,3.6470702013957634e-08,1.8928922429495287e-08
151,3.813002891206452e-08,3.6641836231865454e-08
152,3.7494313431807313e-08,1.9460012268268656e-08
153,3.8143774361287797e-08,2.4350711669285374e-08
154,3.526842462520108e-08,4.2442195535841165e-08
155,3.5391700237141777e-08,4.437231027054622e-08
156,3.779359047939579e-08,3.3303408031315485e-08
157,3.467931719569606e-08,3.641187262815038e-08
158,3.787983615666235e-08,2.3836886242634137e-08
159,3.548451488200044e-08,2.2337010463502338e-08
160,3.3670584542733195e-08,2.325807813008396e-08
161,3.479977550568947e-08,3.284545968540442e-08
162,3.170566742483061e-08,2.3547434224724384e-08
163,3.56600331485879e-08,3.737584819418771e-08
164,3.315323127139891e-08,1.988967213151227e-08
165,3.3079043504358197e-08,2.4398966402827682e-08
166,3.347669164099898e-08,1.962272300204404e-08
167,3.280157656604388e-08,3.6628534871852025e-08
168,3.0787830951339856e-08,3.021063932351353e-08
169,3.1566969482810237e-08,2.2733603444180517e-08
170,3.260246828062918e-08,3.3808309041205575e-08
171,3.4531939974158377e-08,2.066022375402099e-08
172,3.0726909017175785e-08,2.4772051077093238e-08
173,3.1963384827804475e-08,1.1253411713596506e-07
174,3.1064708139183494e-08,2.856608993795362e-08
175,3.4397274362163444e-08,2.7895817211742724e-08
176,2.932262965771315e-08,1.91912992164589e-08
177,2.9845118376670143e-08,2.4119183095194785e-08
178,3.3057105497391603e-08,4.43227428092996e-08
179,2.684674704767076e-08,1.6644856160041854e-08
180,3.0378632942529293e-08,3.522884384210556e-08
181,3.178213958676679e-08,2.6298081934328366e-08
182,2.9654634303710736e-08,2.6165771771502477e-08
183,2.9666654910442958e-08,2.478040173059526e-08
184,3.4655958103257944e-08,2.5166725592384864e-08
185,3.0652156368660144e-08,2.3137333826639406e-08
186,2.7801027258078648e-08,2.6898950622467055e-08
187,2.777548857579859e-08,2.2210912220543833e-08
188,3.181555285891591e-08,2.4207110982388258e-08
189,2.8096305726421633e-08,3.0598279465721134e-08
190,2.98044859903257e-08,2.9352184682807092e-08
191,3.152141303530698e-08,4.276386178503344e-08
192,2.7921577938627706e-08,2.4417353472472314e-08
193,3.265860470946791e-08,3.0324311950380434e-08
194,2.707747626118362e-08,3.235796697254045e-08
195,2.853573555228195e-08,2.056443548781317e-08
196,3.015883720536294e-08,2.060904336076419e-08
197,2.8255405126742517e-08,1.7900790183489335e-08
198,3.045084540076459e-08,1.9110437676772563e-08
199,2.6092896732166082e-08,3.765821077195142e-08
200,3.762923128647344e-08,2.089879735933664e-08
201,2.790859454648853e-08,1.641731550705572e-08
202,2.7312902162179853e-08,3.831794614939099e-08
203,2.785820996109578e-08,1.850187913987611e-08
204,2.7722874662572394e-08,4.245287144044596e-08
205,3.31156435606772e-08,2.029224965838239e-08
206,2.7034307237272515e-08,1.681680394938212e-08
207,2.9373323329195955e-08,2.1727769805579555e-08
208,2.591859882272729e-08,1.720104414459911e-08
209,3.4454405550832234e-08,2.0853164528489287e-08
210,2.507962904019223e-08,2.4618010741050966e-08
211,2.9322997363578907e-08,1.7557452380856375e-08
212,2.716251223944255e-08,1.9951231777781686e-08
213,3.0001974238302864e-08,2.8919778571889765e-08
214,2.7667713453638498e-08,2.596563497547777e-08
215,2.8449626654492022e-08,3.012623039921891e-08
216,2.7072598385302626e-08,2.875061788643052e-08
217,2.852391389751574e-08,2.109451990861544e-08
218,2.849370872581858e-08,2.4154601874215587e-08
219,2.7590440154767748e-08,1.695799234369133e-08
220,2.6433626842958802e-08,2.71011675323507e-08
221,2.9450204053205198e-08,2.407479726684869e-08
222,2.6243554884786136e-08,1.678978733821168e-08
223,3.1235959596642715e-08,2.3990017083974635e-08
224,2.869777659952888e-08,5.970279914890853e-08
225,2.574254764908801e-08,2.0910372100502173e-08
226,2.7776035693705126e-08,4.209814008504509e-08
227,2.665609599716845e-08,3.7747369674434594e-08
228,2.699943379980141e-08,1.457140719196559e-08
229,3.443471641162432e-08,1.5074753889621206e-08
230,2.5586004426259024e-08,1.8415429181573018e-08
231,2.785975183883238e-08,2.808781829344298e-08
232,2.5397095981816165e-08,4.2888956386377686e-08
233,3.132835502128728e-08,3.45240422916504e-08
234,2.60700936394187e-08,1.976057006913834e-08
235,2.6411051123886864e-08,2.977540702886472e-08
236,2.716636160471353e-08,1.7540948249461508e-08
237,2.8686265807209566e-08,2.3609654675738057e-08
238,2.8520441119894713e-08,2.1596052945938027e-08
239,2.6830612398498488e-08,4.120295216125669e-08
240,2.631426632149214e-08,1.506692370867313e-08
241,2.6664851660029854e-08,2.3782872560218493e-08
242,2.6486130622060955e-08,5.001249547831321e-08
243,2.6454328505565172e-08,1.7463326784650235e-08
244,2.6883869352900547e-08,6.329744905997359e-08
245,2.622935291185513e-08,1.5328886604493164e-08
246,3.951938509771935e-08,1.9200765422056065e-08
247,2.267947785128399e-08,2.172265745059576e-08
248,2.7149287262773214e-08,2.987451708236222e-08
249,2.7207928354755495e-08,1.442488972713818e-08
